text,ticker,source
"Apple beats earnings expectations with record iPhone sales driving massive revenue growth",AAPL,Reuters
"Federal Reserve signals more rate hikes ahead sending markets into freefall today",SPY,Bloomberg
"Tesla deliveries disappoint analysts as production issues continue to plague the company",TSLA,CNBC
"NVIDIA reports blowout quarter driven by insane AI chip demand from hyperscale data centers",NVDA,MarketWatch
"Microsoft Azure cloud revenue surges 28 percent beating all analyst expectations comfortably",MSFT,Reuters
"Inflation data comes in hotter than expected raising fears of prolonged aggressive rate hikes",SPY,Bloomberg
"Amazon announces massive layoffs as cost cutting measures intensify across all global divisions",AMZN,CNBC
"Meta stock surges after Zuckerberg declares year of efficiency with strong profit margin growth",META,Reuters
"Oil prices crash on fears of global recession and weak industrial demand from China markets",XOM,Bloomberg
"Google antitrust ruling shakes investor confidence as regulatory risks mount significantly now",GOOGL,MarketWatch
"Warren Buffett increases Berkshire stake in Apple signaling strong long term confidence in tech",AAPL,CNBC
"Banking sector faces renewed pressure after regional bank reports catastrophic loan losses",JPM,Reuters
"Semiconductor shortage finally easing as Taiwan ramps up production capacity for global demand",NVDA,Bloomberg
"Disney streaming losses widen sharply as subscriber growth stalls and fierce competition intensifies",DIS,MarketWatch
"Strong jobs report crushes recession fears boosting broad market optimism across all major sectors",SPY,Reuters
"Crypto market collapses again as Bitcoin falls below key support levels on record heavy volume",COIN,CNBC
"Johnson and Johnson wins landmark FDA approval boosting entire pharma sector investor confidence",JNJ,Bloomberg
"Tesla CEO Elon Musk sells billions in company stock raising serious concerns about future direction",TSLA,Reuters
"S&P 500 hits all time high as AI optimism drives technology stocks to unprecedented record valuations",SPY,MarketWatch
"Interest rates expected to fall next quarter providing major relief to growth stocks and housing",SPY,Bloomberg
"Goldman Sachs raises price targets across entire semiconductor sector citing AI demand supercycle",NVDA,Reuters
"China economic slowdown threatens global supply chains sending industrial stocks sharply lower today",SPY,Bloomberg
